"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0036296" "BP" "GO:0036296" "response to increased oxygen levels" "14/2723" "29/18862" 1.50041654473295e-05 9.69196512544114e-05 5.78277758454827e-05 "ATP6/CYTB/DNMT3B/CAT/HDAC2/ATP6AP1/CAV1/CDK4/ATP6V1A/ATP6V0A2/ATP6V0D1/COL1A1/PPARG/ATG7" 14
"GO:0050690" "BP" "GO:0050690" "regulation of defense response to virus by virus" "14/2723" "29/18862" 1.50041654473295e-05 9.69196512544114e-05 5.78277758454827e-05 "AP2B1/AP1S1/AP1B1/FYN/PACS1/CD4/AP2S1/SCRIB/AP2A1/AP1G1/PAK2/AP2A2/LCK/AP2M1" 14
"GO:0060261" "BP" "GO:0060261" "positive regulation of transcription initiation from RNA polymerase II promoter" "14/2723" "29/18862" 1.50041654473295e-05 9.69196512544114e-05 5.78277758454827e-05 "PSMC6/MED4/MED17/MED12/SRF/MED30/PSMC2/PSMC5/ERCC6/TP53/DHX36/CREB1/PSMC3/ESR1" 14
"GO:0071168" "BP" "GO:0071168" "protein localization to chromatin" "14/2723" "29/18862" 1.50041654473295e-05 9.69196512544114e-05 5.78277758454827e-05 "CDCA5/ESCO2/MSH2/NIPBL/VCP/MACROH2A2/H1-5/PLK1/EZH2/PIH1D1/RUVBL2/ESR1/MACROH2A1/SETD2" 14
"GO:0002562" "BP" "GO:0002562" "somatic diversification of immune receptors via germline recombination within a single locus" "23/2723" "64/18862" 1.52891017603689e-05 9.85529403084431e-05 5.88022889817249e-05 "HMGB1/YY1/MSH2/FOXP3/PRKDC/IL2/EXOSC3/HMGB2/TP53BP1/NSD2/IL4/BCL6/RNF168/MLH1/SUPT6H/TGFB1/TFRC/HSPD1/ATM/RIF1/DCAF1/MSH6/EXO1" 23
"GO:0016444" "BP" "GO:0016444" "somatic cell DNA recombination" "23/2723" "64/18862" 1.52891017603689e-05 9.85529403084431e-05 5.88022889817249e-05 "HMGB1/YY1/MSH2/FOXP3/PRKDC/IL2/EXOSC3/HMGB2/TP53BP1/NSD2/IL4/BCL6/RNF168/MLH1/SUPT6H/TGFB1/TFRC/HSPD1/ATM/RIF1/DCAF1/MSH6/EXO1" 23
"GO:0000154" "BP" "GO:0000154" "rRNA modification" "17/2723" "40/18862" 1.55969228121485e-05 0.000100431757688709 5.99232982808134e-05 "DKC1/NAF1/NOP10/FBLL1/FTSJ3/GAR1/EMG1/MRM2/NHP2/NSUN5/TRMT112/NOP2/TFB2M/NAT10/NSUN3/FBL/NSUN4" 17
"GO:0071216" "BP" "GO:0071216" "cellular response to biotic stimulus" "58/2723" "233/18862" 1.58448705697272e-05 0.000101921507758989 6.08121678961588e-05 "HMGB1/MAPK1/IRAK1/TRAF6/SMC1A/TLR4/CHMP5/CCL2/NOS2/LYN/ABL1/SRC/PRKCA/HMGB2/NFKBIA/BTK/HSPA5/CX3CL1/AKT1/IL1B/TNF/PABPN1/MAPK3/CDK4/ASS1/CTR9/CD68/PRPF8/DAB2IP/NFKB1/TFPI/IL6/TIGAR/TP53/SELENOS/MEF2C/ADAM9/WFS1/IRAK2/GSTP1/IRF3/TRIM5/PDCD4/PRDX2/NOD2/MYD88/UPF1/TGFB1/SCARB1/WNT5A/AKAP8/GSK3B/CDC73/RHOA/BCL2L11/ZMPSTE24/EIF2AK3/GFI1" 58
"GO:0043489" "BP" "GO:0043489" "RNA stabilization" "22/2723" "60/18862" 1.61414229168737e-05 0.00010372046127443 6.18855258715639e-05 "DKC1/NAF1/RBM10/PAIP1/MTOR/SYNCRIP/FUS/DHX36/HNRNPC/PABPC1/NSUN2/TENT4A/MYD88/DHX9/HNRNPU/HNRNPA0/LARP1/ZCCHC17/ELAVL1/TAF15/YBX1/TARDBP" 22
"GO:0042771" "BP" "GO:0042771" "intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator" "18/2723" "44/18862" 1.66452941183776e-05 0.000106846438630296 6.37506617391968e-05 "EP300/SNW1/PML/HNRNPK/MIF/USP28/BRCA2/MSH2/HIPK2/DYRK2/TP53/RPL26/SIRT1/HIPK1/CD44/TAF9/KDM1A/IFI16" 18
"GO:0010950" "BP" "GO:0010950" "positive regulation of endopeptidase activity" "48/2723" "182/18862" 1.67780505926672e-05 0.000107552984381066 6.41722271159936e-05 "HMGB1/EGLN3/ANP32B/AIFM1/DAPK1/DDX3X/PML/CYCS/JAK2/LYN/RPS3/XDH/SNCA/NDUFA13/FYN/TNF/VCP/LAPTM5/RIPK1/PDCD5/CTSD/PSMD14/SIRT1/MTCH1/MEFV/SMAD3/CCN2/HIP1R/HIP1/NCSTN/TNFRSF10B/TNFRSF10A/PIDD1/STAT3/MAPT/HTRA2/HSPE1/HSPD1/RACK1/BCL2L11/PPARG/PSME3/ACVR1C/LCK/EIF2AK3/FAM162A/ROCK2/IFI16" 48
"GO:0019320" "BP" "GO:0019320" "hexose catabolic process" "21/2723" "56/18862" 1.67903812504382e-05 0.000107552984381066 6.41722271159936e-05 "PGK1/PGM2/HK2/ENO1/GPI/GALM/GAPDHS/PFKP/HK1/ACTN3/PGM2L1/ENO2/TPI1/TIGAR/TP53/GCK/GAPDH/PKM/GALE/GALK1/PKLR" 21
"GO:0006998" "BP" "GO:0006998" "nuclear envelope organization" "20/2723" "52/18862" 1.71527179415137e-05 0.000109759527411165 6.54887761758231e-05 "CHMP4B/TOR1A/CCNB2/NUP155/NEK9/PRKCA/SUN2/VRK1/CCNB1/BANF1/PPP2CA/PLK1/CDK1/VPS4A/AKAP8L/ZMPSTE24/CHMP2A/TOR1AIP1/TARDBP/LMNA" 20
"GO:0010038" "BP" "GO:0010038" "response to metal ion" "80/2723" "352/18862" 1.77018092297599e-05 0.000113155269613335 6.75148690925284e-05 "CYTB/APP/OTC/MAOB/FOS/MAP1LC3A/GDI1/G6PD/MAPK1/EDN1/SOD1/CAT/ANK3/MMP9/PCNA/SEC31A/CYB5A/CHUK/TCIRG1/HMOX1/NEDD4L/SLC6A3/TERT/BECN1/GPHN/FXN/EIF2S1/ATF4/SNCA/GPLD1/SLC25A13/CCNB1/HSPA5/AKT1/BRAF/PARK7/CLIC4/CASP3/PPP2CA/ENDOG/HIF1A/CAV1/MAPK3/CDK4/ASS1/PPIF/PPP1CA/TIGAR/AHCYL1/CREB1/GGH/MEF2C/JUND/ADAM9/PTEN/EGFR/NEDD4/SORD/NCSTN/MCOLN1/CDH1/LRRK2/WNT5A/MAPT/CALR/ECT2/TF/PKLR/CCND1/ATP5F1D/DLG4/LONP1/CYBRD1/JUN/EIF2AK3/PARP1/SUMO1/CALM2/DNMT3A/ACTA1" 80
"GO:0002221" "BP" "GO:0002221" "pattern recognition receptor signaling pathway" "53/2723" "208/18862" 1.80558939571748e-05 0.0001152987074625 6.87937660125645e-05 "HMGB1/TAB1/IRAK1/XIAP/C1QBP/DDX3X/CHUK/TRAF6/TLR4/PIK3C3/LYN/USP15/TAB3/IKBKG/UBE2N/NFKBIA/BTK/DDX58/HSPA1A/HSPA1B/CAV1/ZDHHC5/RIPK1/DAB2IP/NOP53/FLOT1/ITGAM/CTSB/NPLOC4/IKBKB/NLRX1/IRAK2/IRF3/NOD2/MYD88/PHB/ERBIN/CLPB/TBK1/ESR1/HSPD1/LSM14A/UBA52/AP3B1/F2RL1/PUM2/UBC/UBB/RPS27A/PUM1/RTN4/GFI1/IKBKE" 53
"GO:1903076" "BP" "GO:1903076" "regulation of protein localization to plasma membrane" "31/2723" "100/18862" 1.81300775107273e-05 0.000115652197454203 6.90046782449063e-05 "AKAP5/AR/STX7/CLTC/VTI1B/MMP14/INS/CDK5/RAB11A/LRP1/GRIPAP1/RER1/AKT1/ARHGEF16/TNF/EPHA2/ITGB1/ZDHHC5/SQSTM1/ARF6/EGFR/VPS4A/CLN3/TGFB1/EZR/PPP2R5A/DLG1/RACK1/ACSL3/AP2M1/VAMP8" 31
"GO:0001889" "BP" "GO:0001889" "liver development" "39/2723" "138/18862" 1.86206416875874e-05 0.000118658300712499 7.07982904085818e-05 "ADA/OTC/SRSF5/UPF2/ONECUT2/PHF2/PRMT5/PCNA/HMOX1/AURKA/PCK2/HGF/FBXW7/RPL30/CEBPG/HMGCS1/DDX39B/CPT1A/MET/ASS1/PCSK9/GLI3/SOX9/IL6/SMAD3/ARF6/EZH2/EGFR/UGT1A1/CSNK2A2/HRAS/PKM/GFER/CCND1/KRAS/ZMPSTE24/NF1/CUL3/CAD" 39
"GO:0070911" "BP" "GO:0070911" "global genome nucleotide-excision repair" "13/2723" "26/18862" 1.88142439150031e-05 0.000119767772404004 7.14602643163795e-05 "RBX1/RAD23B/CUL4A/CETN2/DDB1/GTF2H5/UBA52/ERCC2/UBC/UBB/RPS27A/PARP1/CHD1L" 13
"GO:0051604" "BP" "GO:0051604" "protein maturation" "69/2723" "293/18862" 1.94962072140144e-05 0.000123980539250197 7.39738406006299e-05 "MIPEP/ATP6AP2/PSEN1/EP300/XPNPEP3/OGT/NAA10/FKBP1A/HSCB/AFG3L2/PRDX4/CREBBP/PGK1/ADAM17/PLAU/SRC/FXN/DOHH/PMPCA/BAG2/NAA15/MMP14/ADAM10/KAT2B/METAP2/STOML2/ENO1/FKBP1B/CASP3/TYSND1/PITRM1/SPCS1/PMPCB/PCSK9/OMA1/GLI3/GLRX3/NDUFAB1/PCSK6/SPG7/PLAT/RNF139/FURIN/RFX4/WFS1/YME1L1/CLN3/CCS/EEF1AKMT4-ECE2/NCSTN/CAST/ACE/PRKACA/PIDD1/REN/LRRK2/PCSK7/HTRA2/CALR/LIPT1/HSPD1/ZMPSTE24/DHPS/CISD3/NAA50/PARP1/PSEN2/SNAPIN/IFI16" 69
"GO:0051403" "BP" "GO:0051403" "stress-activated MAPK cascade" "63/2723" "261/18862" 1.97228425790507e-05 0.000125292059941167 7.47563684322154e-05 "APP/HMGB1/MAPK1/TAB1/IRAK1/DNAJA1/CHUK/TRAF6/MAPK11/TLR4/AXIN1/HGF/PBK/RAP2A/LEP/XDH/TAB3/HIPK2/MID1/IKBKG/UBE2N/SDCBP/AKT1/IL1B/TNF/MAPK3/PPIA/RIPK1/ERCC6/DAB2IP/SH2D3A/NFKB1/COPS5/CCN2/EGFR/SKP1/IKBKB/DUSP22/IRAK2/MAGI3/GSTP1/PDCD4/MAP2K1/NOD2/MYD88/HRAS/PRMT1/EZR/FBXW11/WNT5A/QARS1/DLG1/HDAC3/TF/UBA52/F2RL1/UBC/MAP2K2/UBB/RPS27A/TRAF4/MAP3K2/CDC42" 63
"GO:0050803" "BP" "GO:0050803" "regulation of synapse structure or activity" "54/2723" "214/18862" 2.03400615175608e-05 0.000129079543287578 7.70161963942439e-05 "APP/CDH2/MX1/MX2/CAPRIN1/CAMK2B/BDNF/PDLIM5/LRRN3/DNM1/UBE2V2/HSPA8/ABL1/VPS35/SNCA/FYN/YWHAZ/ADAM10/INS/ZMYND8/CDK5/GRIPAP1/TNF/VCP/CUX2/DAB2IP/DGKB/TUBB/CFL1/DHX36/ARHGEF15/ARF6/MEF2C/PTEN/NEDD4/ARF4/CLN3/EIF4G1/LRRK2/WNT5A/TUBA1A/OPA1/DNM1L/APOE/NGEF/DNM2/RHOA/PPT1/SETD5/CAMKV/ACTR2/CDC20/NRXN1/CDC42" 54
"GO:0001731" "BP" "GO:0001731" "formation of translation preinitiation complex" "8/2723" "11/18862" 2.04753069964009e-05 0.000129403097612027 7.72092473050334e-05 "EIF2S2/EIF5/EIF2S3/EIF4H/EIF4B/RPL13A/DHX29/EIF2D" 8
"GO:0034427" "BP" "GO:0034427" "nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'" "8/2723" "11/18862" 2.04753069964009e-05 0.000129403097612027 7.72092473050334e-05 "EXOSC3/EXOSC8/EXOSC7/SKIV2L/EXOSC4/EXOSC2/DIS3L2/EXOSC5" 8
"GO:0072321" "BP" "GO:0072321" "chaperone-mediated protein transport" "8/2723" "11/18862" 2.04753069964009e-05 0.000129403097612027 7.72092473050334e-05 "TOR1A/CLU/TIMM9/HSPA8/TIMM8B/TIMM10/TIMM13/PEX19" 8
"GO:1905214" "BP" "GO:1905214" "regulation of RNA binding" "8/2723" "11/18862" 2.04753069964009e-05 0.000129403097612027 7.72092473050334e-05 "NCBP1/CDK9/FMR1/EIF3D/EIF3C/CARM1/EIF3E/EIF4G1" 8
"GO:0016126" "BP" "GO:0016126" "sterol biosynthetic process" "26/2723" "78/18862" 2.05440880927663e-05 0.00012970435062062 7.73889919824874e-05 "ACAA2/LSS/G6PD/SOD1/SCD/ACACA/MSMO1/PRKAG2/CYB5R3/MVD/HMGCS1/CH25H/FAXDC2/SP1/APOA1/KPNB1/CFTR/HMGCR/APOE/DHCR7/FASN/ACACB/RAN/ACLY/FDPS/SCAP" 26
"GO:0032091" "BP" "GO:0032091" "negative regulation of protein binding" "30/2723" "96/18862" 2.06751375952763e-05 0.000130397710726676 7.78026900537684e-05 "ROCK1/STYX/CSNK1E/ID1/AURKA/DDX11/BAG2/PEX14/AKT1/PARK7/GNL3L/CAV1/MAPK3/RALB/PPP1CA/PCSK9/PIN1/AURKB/GOLGA2/ADIPOQ/RUVBL2/ACE/TLE5/ADRB2/LRRK2/GSK3B/GTF2F1/RACK1/ATP2A2/KDM1A" 30
"GO:0060969" "BP" "GO:0060969" "negative regulation of gene silencing" "16/2723" "37/18862" 2.12780655763677e-05 0.000134062724959617 7.9989445977773e-05 "HMGA1/TERT/H1-0/ATAD2B/TNF/ATAD2/H1-5/IL6/TP53/ASF1A/TGFB1/STAT3/ESR1/PPARG/ZMPSTE24/ELAVL1" 16
"GO:0043406" "BP" "GO:0043406" "positive regulation of MAP kinase activity" "57/2723" "230/18862" 2.14355397694939e-05 0.000134916517217214 8.04988669945833e-05 "PSEN1/MAPK1/EDN1/SOD1/TAB1/IRAK1/EGF/TRAF6/MAPK11/TLR4/MAP2K5/HGF/PBK/INSR/SRC/RPS3/TAB3/FGF2/IKBKG/UBE2N/NTRK3/CD81/IL1B/TNF/CXCR4/MAPK3/DRD4/PPIA/RIPK1/IGF1/ERCC6/DAB2IP/EZH2/EGFR/CDK1/IRAK2/MAP2K1/PRDX2/NOD2/TGFB1/HRAS/ERBB2/LRRK2/WNT5A/TF/UBA52/ERP29/KRAS/PTPN11/UBC/MAP2K2/UBB/RPS27A/GDF15/KSR1/MAP3K2/SHC1" 57
"GO:0080164" "BP" "GO:0080164" "regulation of nitric oxide metabolic process" "22/2723" "61/18862" 2.18288375895338e-05 0.000137251329900211 8.18919490241411e-05 "EDN1/HSP90AA1/HSP90AB1/TLR4/CLU/JAK2/AGXT2/INSR/GLA/AKT1/IL1B/MTOR/TNF/CAV1/ASS1/DYNLL1/SELENOS/SMAD3/DNM2/KHSRP/PTGS2/ROCK2" 22
"GO:1990748" "BP" "GO:1990748" "cellular detoxification" "34/2723" "115/18862" 2.24124547959933e-05 0.000140776799398555 8.39954446234515e-05 "SRXN1/SOD1/TXN/CAT/ALB/GCH1/PRDX3/TXNDC2/PRDX4/GPX8/FBLN5/NOS3/NNT/GSTA1/PARK7/DHFR/ABCG2/SELENOS/GSTM2/GSR/GSTM1/ADH5/GSTP1/CCS/PRDX2/PRDX6/APOE/GPX1/TXNRD1/MTARC1/PRDX1/AKR1A1/PTGS2/GSTM3" 34
"GO:0006297" "BP" "GO:0006297" "nucleotide-excision repair, DNA gap filling" "12/2723" "23/18862" 2.28243573775957e-05 0.000142925614037279 8.5277549641921e-05 "RFC3/RPA3/PCNA/RFC5/RPA1/UBA52/RFC4/UBC/POLD1/RPA2/UBB/RPS27A" 12
"GO:0007035" "BP" "GO:0007035" "vacuolar acidification" "12/2723" "23/18862" 2.28243573775957e-05 0.000142925614037279 8.5277549641921e-05 "ATP6AP2/TCIRG1/ATP6V0A4/CLIC4/ATP6V0D2/DMXL2/ATP6V0A2/CLN3/ATP6V0A1/ATP6V0D1/PPT1/SNAPIN" 12
"GO:0048026" "BP" "GO:0048026" "positive regulation of mRNA splicing, via spliceosome" "12/2723" "23/18862" 2.28243573775957e-05 0.000142925614037279 8.5277549641921e-05 "CELF4/NCBP1/RBMX/SNW1/PRPF19/HSPA8/NUP98/TRA2A/SNRNP70/PRDX6/NCL/TRA2B" 12
"GO:0030520" "BP" "GO:0030520" "intracellular estrogen receptor signaling pathway" "21/2723" "57/18862" 2.29920414961453e-05 0.000143829033514074 8.58165810800493e-05 "FOXA1/UFM1/AR/AXIN1/YAP1/VPS18/SAFB/BRCA1/SRC/DDX17/ESR2/EGLN2/CARM1/DDX5/CNOT1/ESR1/VPS11/CNOT9/DDX54/KMT2D/PARP1" 21
"GO:0010907" "BP" "GO:0010907" "positive regulation of glucose metabolic process" "17/2723" "41/18862" 2.3075168828032e-05 0.000144202199502137 8.60392331308106e-05 "HMGB1/IGF2/INSR/SRC/KAT2B/GPLD1/INS/AKT1/WDR5/IGF1/DYRK2/AKT2/ACTN3/SIRT1/DDB1/GCK/KAT2A" 17
"GO:0001824" "BP" "GO:0001824" "blastocyst development" "29/2723" "92/18862" 2.35114186599989e-05 0.00014663009627246 8.74878544206425e-05 "ADA/TGFBR1/PRPF19/YAP1/BRCA2/NCAPG2/RPL7L1/SRF/SF3B6/FBLL1/IGF1/CTR9/EMG1/RPL13/FURIN/WDR74/NDUFA2/BYSL/SUPT6H/SBDS/ACTL6A/CNOT1/NEK2/NLE1/CNOT3/ACVR1C/NASP/RTN4/CUL3" 29
"GO:1901655" "BP" "GO:1901655" "cellular response to ketone" "29/2723" "92/18862" 2.35114186599989e-05 0.00014663009627246 8.74878544206425e-05 "DNMT3B/AR/CDC5L/MSN/ACACA/PCK2/ADCY2/SRC/GOLPH3/FBXO32/AKT1/PARK7/CBX3/CDK4/ASS1/NDOR1/EIF4E/SIRT1/EGFR/CFTR/ADCY5/AKAP8/ADCY6/XRN1/SMYD3/LARP1/PPARG/GNB1/ROCK2" 29
"GO:0045911" "BP" "GO:0045911" "positive regulation of DNA recombination" "18/2723" "45/18862" 2.40164150023374e-05 0.000149627624096713 8.92763499926752e-05 "FANCB/WAS/ARID2/MSH2/IL2/EXOSC3/TP53BP1/NSD2/FUS/ERCC6/IL4/MLH1/TGFB1/TFRC/ERCC2/RIF1/PARP1/ACTR2" 18
"GO:0005979" "BP" "GO:0005979" "regulation of glycogen biosynthetic process" "14/2723" "30/18862" 2.44003755014919e-05 0.000151712051321523 9.05200378182343e-05 "IGF2/INSR/PPP1CB/INS/AKT1/MTOR/IGF1/PPP1CA/DYRK2/AKT2/SELENOS/GCK/PASK/GSK3B" 14
"GO:0010962" "BP" "GO:0010962" "regulation of glucan biosynthetic process" "14/2723" "30/18862" 2.44003755014919e-05 0.000151712051321523 9.05200378182343e-05 "IGF2/INSR/PPP1CB/INS/AKT1/MTOR/IGF1/PPP1CA/DYRK2/AKT2/SELENOS/GCK/PASK/GSK3B" 14
"GO:0060284" "BP" "GO:0060284" "regulation of cell development" "103/2723" "485/18862" 2.63235123288113e-05 0.000163283069294232 9.74239651948757e-05 "ROCK1/PSEN1/GDI1/ID1/PRMT5/L1CAM/CAPRIN1/C1QBP/FLNA/SNW1/PRPF19/CAMK2B/BDNF/FOXG1/DICER1/AURKA/NF2/YAP1/HDAC2/ATP6AP1/SPART/FBXW7/LYN/ABL1/DYNLT1/VCL/NIN/PRKDC/HMGB2/PLXNC1/INS/SRF/CDK5/RAB11A/LRP1/CX3CL1/RPS19/IL1B/MTOR/MYOD1/CTNNB1/TNF/CTNNA1/CUX2/HIF1A/CXCR4/RCC2/IGF1/EIF4G2/SEMA4G/SRRT/GLI3/XRCC5/LDLR/IL6/CUX1/TP53/DHX36/EZH2/PTEN/BMPR1A/IKBKB/ADIPOQ/TLX2/FBN1/APOA1/IDH2/MAP2K1/MYB/TGFB1/ACTN4/LRRK2/WNT5A/MAPT/PPP1CC/TWF2/ARHGDIA/CALR/P4HB/GSK3B/KIF14/OPA1/DNM1L/OBSL1/THY1/DNM2/RHOA/ASPA/FN1/GORASP1/PPARG/NF1/PLXND1/SHOX2/HDAC1/YTHDF2/HDAC4/ROCK2/ACTR2/RTN4/CDC42/KDM1A/LIN28A" 103
"GO:0016075" "BP" "GO:0016075" "rRNA catabolic process" "11/2723" "20/18862" 2.6394284194884e-05 0.000163283069294232 9.74239651948757e-05 "DIS3/EXOSC3/EXOSC8/EXOSC7/EXOSC4/EXOSC2/DIS3L/DDX49/XRN1/EXOSC5/EXOSC10" 11
"GO:0032986" "BP" "GO:0032986" "protein-DNA complex disassembly" "11/2723" "20/18862" 2.6394284194884e-05 0.000163283069294232 9.74239651948757e-05 "SMARCB1/HMGA1/SUPT16H/RPL23/ARID2/SMARCE1/SMARCC1/SET/GRWD1/SMARCC2/SMARCA4" 11
"GO:0046827" "BP" "GO:0046827" "positive regulation of protein export from nucleus" "11/2723" "20/18862" 2.6394284194884e-05 0.000163283069294232 9.74239651948757e-05 "GTSE1/ANP32B/TCF7L2/RIOK2/IL1B/TP53/TPR/PRKACA/GSK3B/YWHAE/SFN" 11
"GO:1902176" "BP" "GO:1902176" "negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway" "11/2723" "20/18862" 2.6394284194884e-05 0.000163283069294232 9.74239651948757e-05 "NONO/INS/AKT1/PARK7/HSPB1/HIF1A/PPIA/SIRT1/BAG5/HTRA2/GPX1" 11
"GO:1990830" "BP" "GO:1990830" "cellular response to leukemia inhibitory factor" "26/2723" "79/18862" 2.64546398191651e-05 0.000163491803228502 9.75485077309465e-05 "SLC25A5/KLF5/MYBL2/PMM1/SRSF3/PML/NEFH/BCLAF1/SMARCA5/HK2/MRPL15/SRSF7/PFKP/GFPT2/XRCC5/CREB1/SIRT1/KDM3A/KDM5B/EIF4A2/TFRC/HNRNPU/TRIM25/RIF1/SHMT1/SRM" 26
"GO:0001558" "BP" "GO:0001558" "regulation of cell growth" "89/2723" "406/18862" 2.67786773241038e-05 0.000165328055077356 9.86441200132552e-05 "N6AMT1/PSMD10/YY1/SMARCA2/GDI1/G6PD/EDN1/RBBP7/L1CAM/NCBP1/DDX3X/TGFBR1/CSNK2A1/BDNF/PML/CTDP1/NEDD4L/DPYSL2/MAP2K5/SPART/ADAM17/ABL1/FXN/IL2/NDUFA13/MMP14/CEP43/ADAM10/INS/CDKN2A/ESR2/ENO1/LAMTOR1/EGLN2/SRF/CDK5/RAB11A/LRP1/SDCBP/AKT1/MTOR/DDX39B/PPP2CA/HSPA1A/HSPA1B/CXCR4/IGF1/EIF4G2/SEMA4G/NDUFS3/TMEM97/H1-5/TP53/PIN1/EXOSC4/EXOSC2/SIRT1/SMAD3/EGFR/BCL6/DDR1/ACVRL1/ACVR1B/EIF4G1/DDX49/DCUN1D5/TGFB1/PHB/ERBB2/WNT5A/MAPT/TWF2/GSK3B/WNT11/KIF14/RACK1/CDC73/APOE/DNM2/SMARCA4/FN1/NPPB/KDM2B/PPARG/PPT1/RTN4/ATAD3A/CDC42/SFN" 89
"GO:0043144" "BP" "GO:0043144" "sno(s)RNA processing" "9/2723" "14/18862" 2.69985518054128e-05 0.000166184472686023 9.91551074638195e-05 "DKC1/EXOSC3/FBLL1/EXOSC4/EXOSC2/LARP7/FBL/EXOSC5/EXOSC10" 9
"GO:0098787" "BP" "GO:0098787" "mRNA cleavage involved in mRNA processing" "9/2723" "14/18862" 2.69985518054128e-05 0.000166184472686023 9.91551074638195e-05 "NCBP1/CSTF2/CSTF2T/CPSF6/CPSF2/CPSF1/CPSF7/NUDT21/NCBP2" 9
"GO:2000232" "BP" "GO:2000232" "regulation of rRNA processing" "9/2723" "14/18862" 2.69985518054128e-05 0.000166184472686023 9.91551074638195e-05 "RIOK1/KAT2B/RIOK2/WDR43/WDR75/TRMT112/NUDT16/SIRT7/HEATR1" 9
"GO:0036503" "BP" "GO:0036503" "ERAD pathway" "31/2723" "102/18862" 2.80024309497782e-05 0.000172191124448936 0.000102739017509223 "PSMC6/UBE2G2/USP25/SEC61B/UBQLN1/TOR1A/RNFT1/STT3B/FOXRED2/UGGT2/HSPA5/VCP/SYVN1/DERL1/FAF2/CAV1/MAN1B1/OS9/AMFR/SELENOS/RNF139/UBXN8/WFS1/NPLOC4/AUP1/SGTA/TRIM25/USP13/DNAJC10/ERLEC1/EDEM3" 31
"GO:0080182" "BP" "GO:0080182" "histone H3-K4 trimethylation" "10/2723" "17/18862" 2.8364975044642e-05 0.000174071969729506 0.000103861236768961 "OGT/WDR61/TET2/CTR9/KMT2E/KMT2A/WDR82/SETD1A/KMT2D/SETD1B" 10
"GO:0090201" "BP" "GO:0090201" "negative regulation of release of cytochrome c from mitochondria" "10/2723" "17/18862" 2.8364975044642e-05 0.000174071969729506 0.000103861236768961 "PSMD10/CLU/HGF/FXN/AKT1/PPIF/IGF1/GHITM/OPA1/GPX1" 10
"GO:1904375" "BP" "GO:1904375" "regulation of protein localization to cell periphery" "35/2723" "121/18862" 2.86035686943432e-05 0.000175361000488374 0.000104630345828031 "AKAP5/AR/STX7/CLTC/VTI1B/MMP14/ADAM10/INS/CDK5/RAB11A/LRP1/GRIPAP1/RER1/AKT1/ARHGEF16/TNF/EPHA2/ITGB1/ZDHHC5/SQSTM1/PLK1/ABCA2/ARF6/EGFR/VPS4A/CLN3/TGFB1/HRAS/EZR/PPP2R5A/DLG1/RACK1/ACSL3/AP2M1/VAMP8" 35
"GO:0002200" "BP" "GO:0002200" "somatic diversification of immune receptors" "25/2723" "75/18862" 2.94348105367939e-05 0.000180277209499028 0.000107563635712983 "CTNNBL1/HMGB1/YY1/SAMHD1/MSH2/FOXP3/PRKDC/IL2/EXOSC3/HMGB2/TP53BP1/NSD2/IL4/BCL6/RNF168/MLH1/SUPT6H/TGFB1/TFRC/HSPD1/ATM/RIF1/DCAF1/MSH6/EXO1" 25
"GO:0019216" "BP" "GO:0019216" "regulation of lipid metabolic process" "88/2723" "402/18862" 3.13019332815469e-05 0.000191521689390979 0.000114272731900132 "SNAI1/PIP4K2A/LSS/HELZ2/SOD1/EIF6/TWIST1/ME1/PLIN2/SCD/NPC2/ACACA/CREBBP/EPHX2/FBXW7/LEP/LYN/BRCA1/SRC/EDF1/FGF2/FABP5/PRKAG2/PLPP1/GPLD1/INS/MVD/STOML2/CD81/SNAI2/LAMTOR1/HMGCS1/AKT1/IL1B/MTOR/TNF/ACSL1/CPT1A/TYSND1/CAV1/CDK4/AKT2/DAB2IP/SOX9/NFKB1/LDLR/CARM1/SIRT3/ABCA2/CREB1/SIRT1/ADIPOQ/UGT1A1/SP1/APOA1/TBL1XR1/KPNB1/NOD2/TGFB1/SCARB1/HMGCR/CRTC3/PPP2R5A/IDH1/CHD9/HDAC3/RACK1/MACROH2A1/APOE/ATP1A1/DHCR7/H6PD/FASN/PPARG/ZMPSTE24/TXNRD1/ACACB/ACSL3/RAN/AGAP2/FDPS/SCAP/UGT1A8/DNAJC19/PTGS2/ACADM/GFI1/CDC42" 88
"GO:0062013" "BP" "GO:0062013" "positive regulation of small molecule metabolic process" "39/2723" "141/18862" 3.18182648830759e-05 0.00019446279896167 0.000116027565133534 "APP/HMGB1/PSEN1/IGF2/TWIST1/NOS2/INSR/SRC/SNCA/KAT2B/GPLD1/INS/ENO1/NOS3/AKT1/IL1B/TNF/GAPDHS/PARK7/VCP/HIF1A/CPT1A/WDR5/IGF1/DYRK2/AKT2/ACTN3/IL4/SIRT1/DDB1/GCK/ADIPOQ/APOA1/NOS1/PPARG/KAT2A/SCAP/ARNT/PTGS2" 39
